year,plot_type,hindfoot_length,weight
1977,Control,NA,NA
1977,Long-term Krat Exclosure,NA,NA
1977,Rodent Exclosure,NA,NA
1977,Short-term Krat Exclosure,NA,NA
1977,Spectab exclosure,NA,NA
1978,Control,NA,NA
1978,Long-term Krat Exclosure,NA,NA
1978,Rodent Exclosure,NA,NA
1978,Short-term Krat Exclosure,NA,NA
1978,Spectab exclosure,NA,NA
1979,Control,NA,NA
1979,Long-term Krat Exclosure,NA,NA
1979,Rodent Exclosure,NA,NA
1979,Short-term Krat Exclosure,NA,NA
1979,Spectab exclosure,NA,NA
1980,Control,NA,NA
1980,Long-term Krat Exclosure,NA,NA
1980,Rodent Exclosure,NA,NA
1980,Short-term Krat Exclosure,NA,NA
1980,Spectab exclosure,NA,NA
1981,Control,NA,NA
1981,Long-term Krat Exclosure,NA,NA
1981,Rodent Exclosure,NA,NA
1981,Short-term Krat Exclosure,NA,NA
1981,Spectab exclosure,NA,NA
1982,Control,NA,NA
1982,Long-term Krat Exclosure,NA,NA
1982,Rodent Exclosure,NA,NA
1982,Short-term Krat Exclosure,NA,NA
1982,Spectab exclosure,NA,NA
1983,Control,NA,NA
1983,Long-term Krat Exclosure,NA,NA
1983,Rodent Exclosure,NA,NA
1983,Short-term Krat Exclosure,NA,NA
1983,Spectab exclosure,NA,NA
1984,Control,NA,NA
1984,Long-term Krat Exclosure,NA,NA
1984,Rodent Exclosure,NA,NA
1984,Short-term Krat Exclosure,NA,NA
1984,Spectab exclosure,NA,NA
1985,Control,NA,NA
1985,Long-term Krat Exclosure,NA,NA
1985,Rodent Exclosure,NA,NA
1985,Short-term Krat Exclosure,NA,NA
1985,Spectab exclosure,NA,NA
1986,Control,NA,NA
1986,Long-term Krat Exclosure,NA,NA
1986,Rodent Exclosure,NA,NA
1986,Short-term Krat Exclosure,NA,NA
1986,Spectab exclosure,NA,NA
1987,Control,NA,NA
1987,Long-term Krat Exclosure,NA,NA
1987,Rodent Exclosure,NA,NA
1987,Short-term Krat Exclosure,NA,NA
1987,Spectab exclosure,NA,NA
1988,Control,NA,NA
1988,Long-term Krat Exclosure,NA,NA
1988,Rodent Exclosure,NA,NA
1988,Short-term Krat Exclosure,NA,NA
1988,Spectab exclosure,NA,NA
1989,Control,NA,NA
1989,Long-term Krat Exclosure,NA,NA
1989,Rodent Exclosure,NA,NA
1989,Short-term Krat Exclosure,NA,NA
1989,Spectab exclosure,NA,NA
1990,Control,NA,NA
1990,Long-term Krat Exclosure,NA,NA
1990,Rodent Exclosure,NA,NA
1990,Short-term Krat Exclosure,NA,NA
1990,Spectab exclosure,NA,NA
1991,Control,NA,NA
1991,Long-term Krat Exclosure,NA,NA
1991,Rodent Exclosure,NA,NA
1991,Short-term Krat Exclosure,NA,NA
1991,Spectab exclosure,NA,NA
1992,Control,NA,NA
1992,Long-term Krat Exclosure,NA,NA
1992,Rodent Exclosure,NA,NA
1992,Short-term Krat Exclosure,NA,NA
1992,Spectab exclosure,NA,NA
1993,Control,NA,NA
1993,Long-term Krat Exclosure,NA,NA
1993,Rodent Exclosure,NA,NA
1993,Short-term Krat Exclosure,NA,NA
1993,Spectab exclosure,NA,NA
1994,Control,NA,NA
1994,Long-term Krat Exclosure,NA,NA
1994,Rodent Exclosure,NA,NA
1994,Short-term Krat Exclosure,NA,NA
1994,Spectab exclosure,NA,NA
1995,Control,NA,NA
1995,Long-term Krat Exclosure,NA,NA
1995,Rodent Exclosure,NA,NA
1995,Short-term Krat Exclosure,NA,NA
1995,Spectab exclosure,NA,NA
1996,Control,NA,NA
1996,Long-term Krat Exclosure,NA,NA
1996,Rodent Exclosure,NA,NA
1996,Short-term Krat Exclosure,NA,NA
1996,Spectab exclosure,NA,NA
1997,Control,NA,NA
1997,Long-term Krat Exclosure,NA,NA
1997,Rodent Exclosure,NA,NA
1997,Short-term Krat Exclosure,NA,NA
1997,Spectab exclosure,NA,NA
1998,Control,NA,NA
1998,Long-term Krat Exclosure,NA,NA
1998,Rodent Exclosure,NA,NA
1998,Short-term Krat Exclosure,NA,NA
1998,Spectab exclosure,NA,NA
1999,Control,NA,NA
1999,Long-term Krat Exclosure,NA,NA
1999,Rodent Exclosure,NA,NA
1999,Short-term Krat Exclosure,NA,NA
1999,Spectab exclosure,NA,NA
2000,Control,NA,NA
2000,Long-term Krat Exclosure,NA,NA
2000,Rodent Exclosure,NA,NA
2000,Short-term Krat Exclosure,NA,NA
2000,Spectab exclosure,NA,NA
2001,Control,NA,NA
2001,Long-term Krat Exclosure,NA,NA
2001,Rodent Exclosure,NA,NA
2001,Short-term Krat Exclosure,NA,NA
2001,Spectab exclosure,NA,NA
2002,Control,NA,NA
2002,Long-term Krat Exclosure,NA,NA
2002,Rodent Exclosure,NA,NA
2002,Short-term Krat Exclosure,NA,NA
2002,Spectab exclosure,NA,NA
